turn,trajectories_reaching_turn,action,count,share_of_reaching,share_of_action_total
37,4,find,0,0.00000000,0.00000000
37,4,create,0,0.00000000,0.00000000
37,4,edit,1,0.25000000,0.00074349
37,4,exit_cost,2,0.50000000,0.10000000
37,4,submit,0,0.00000000,0.00000000
37,4,open,0,0.00000000,0.00000000
37,4,scroll_up,0,0.00000000,0.00000000
37,4,scroll_down,0,0.00000000,0.00000000
37,4,goto,0,0.00000000,0.00000000
37,4,python3,0,0.00000000,0.00000000
37,4,python,0,0.00000000,0.00000000
37,4,pytest,0,0.00000000,0.00000000
38,2,search_dir,0,0.00000000,0.00000000
38,2,search_file,0,0.00000000,0.00000000
38,2,find_file,0,0.00000000,0.00000000
38,2,find,0,0.00000000,0.00000000
38,2,create,0,0.00000000,0.00000000
38,2,edit,0,0.00000000,0.00000000
38,2,exit_cost,0,0.00000000,0.00000000
38,2,submit,1,0.50000000,0.00375940
38,2,open,0,0.00000000,0.00000000
38,2,scroll_up,0,0.00000000,0.00000000
38,2,scroll_down,0,0.00000000,0.00000000
38,2,goto,0,0.00000000,0.00000000
38,2,python3,0,0.00000000,0.00000000
38,2,python,0,0.00000000,0.00000000
38,2,pytest,0,0.00000000,0.00000000
39,1,search_dir,0,0.00000000,0.00000000
39,1,search_file,0,0.00000000,0.00000000
39,1,find_file,0,0.00000000,0.00000000
39,1,find,0,0.00000000,0.00000000
39,1,create,0,0.00000000,0.00000000
39,1,edit,0,0.00000000,0.00000000
39,1,exit_cost,1,1.00000000,0.05000000
39,1,submit,0,0.00000000,0.00000000
39,1,open,0,0.00000000,0.00000000
39,1,scroll_up,0,0.00000000,0.00000000
39,1,scroll_down,0,0.00000000,0.00000000
39,1,goto,0,0.00000000,0.00000000
39,1,python3,0,0.00000000,0.00000000
39,1,python,0,0.00000000,0.00000000
39,1,pytest,0,0.00000000,0.00000000
